Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000138798,EGF,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of dna-templated transcription,erbb2-egfr signaling pathway,receptor ligand activity,epidermal growth factor receptor binding,transmembrane receptor protein tyrosine kinase activator activity,plasma membrane,clathrin-coated endocytic vesicle membrane,extracellular region
ENSG00000121879,PIK3CA,negative regulation of actin filament depolymerization,positive regulation of lamellipodium assembly,phosphatidylinositol phosphate biosynthetic process,atp binding,histone h2axs139 kinase activity,histone h3t3 kinase activity,phosphatidylinositol 3-kinase complex,class ia,plasma membrane
ENSG00000145675,PIK3R1,regulation of transcription,positive regulation of tumor necrosis factor production,negative regulation of osteoclast differentiation,protein phosphatase binding,phosphatidylinositol kinase activity,phosphotyrosine residue binding,phosphatidylinositol 3-kinase complex,class ia,nucleus
ENSG00000197122,SRC,positive regulation of protein serine/threonine kinase activity,positive regulation of glycolytic process,stimulatory c-type lectin receptor signaling pathway,non-membrane spanning protein tyrosine kinase activity,histone h2axy142 kinase activity,protein kinase c binding,late endosome,lysosome,actin filament
ENSG00000089159,PXN,positive regulation of stress fiber assembly,signal transduction,cellular response to reactive oxygen species,vinculin binding,protein phosphatase binding,beta-catenin binding,focal adhesion,cytoskeleton,lamellipodium
ENSG00000137392,CLPS,lipid catabolic process,response to bacterium,response to food,lipase binding,enzyme activator activity,lipid transport,extracellular region,membrane microdomain,lipid droplet
ENSG00000175535,PNLIP,positive regulation of triglyceride lipase activity,lipid catabolic process,retinol metabolic process,triacylglycerol lipase activity,all-trans-retinol forming activity,hydrolase activity,extracellular region,membrane microdomain,lipoprotein particle
ENSG00000078369,GNB1,signaling pathway regulation,g protein-coupled receptor signaling,cellular response to stimulus,gtpase activity,signaling receptor complex adaptor activity,protein binding,plasma membrane,heterotrimeric g-protein complex,lysosomal membrane
ENSG00000127928,GNGT1,cellular response to hypoxia,signal transduction,g protein-coupled receptor signaling pathway,gtpase activity,g-protein beta-subunit binding,protein binding,plasma membrane,heterotrimeric g-protein complex,photoreceptor disc membrane
ENSG00000198515,CNGA1,sodium ion transmembrane transport,visual perception,calcium ion transport,intracellularly camp-activated cation channel activity,cgmp binding,intracellularly cyclic nucleotide-activated monoatomic cation channel activity,photoreceptor outer segment membrane,intracellular cyclic nucleotide activated cation channel complex,plasma membrane
ENSG00000070729,CNGB1,positive regulation of gene expression,calcium ion transmembrane transport,regulation of cytosolic calcium ion concentration,intracellularly camp-activated cation channel activity,intracellularly cgmp-activated cation channel activity,camp binding,intracellular cyclic nucleotide activated cation channel complex,ciliary membrane,plasma membrane
ENSG00000257365,FNTB,protein farnesylation,lipid metabolic process,cellular component organization,protein farnesyltransferase activity,protein prenyltransferase activity,metal ion binding,protein farnesyltransferase complex,cytosol,microtubule associated complex
ENSG00000168522,FNTA,positive regulation of tubulin deacetylation,positive regulation of rac protein signal transduction,transforming growth factor beta receptor signaling pathway,protein farnesyltransferase activity,caax-protein geranylgeranyltransferase activity,receptor tyrosine kinase binding,plasma membrane,microtubule associated complex,cytosol
ENSG00000113522,RAD50,positive regulation of telomere maintenance,mitotic g2/m transition checkpoint,reciprocal meiotic recombination,dna helicase activity,atp hydrolysis activity,single-stranded dna endodeoxyribonuclease activity,telomeric region,condensed nuclear chromosome,mre11 complex
ENSG00000020922,MRE11,negative regulation of double-strand break repair via nonhomologous end joining,mitotic g2/m transition checkpoint,mitotic intra-s dna damage checkpoint signaling,'-5'-dna exonuclease activity,manganese ion binding,'-5' exonuclease activity,chromosome,nucleus,site of double-strand break
ENSG00000182481,KPNA2,regulation of dna recombination,positive regulation of type i interferon production,protein import into nucleus,nuclear localization sequence binding,histone deacetylase binding,protein binding,nucleus,endoplasmic reticulum membrane,nuclear membrane
ENSG00000104320,NBN,positive regulation of double-strand break repair via homologous recombination,mitotic g2/m transition checkpoint,mitotic g2 dna damage checkpoint signaling,damaged dna binding,protein serine/threonine kinase activator activity,chromatin-protein adaptor activity,chromosome,nucleus,telomeric region
ENSG00000172977,KAT5,positive regulation of double-strand break repair via homologous recombination,positive regulation of transcription by rna polymerase ii,regulation of transcription by rna polymerase ii,histone h3k122 acetyltransferase activity,histone h3k9 acetyltransferase activity,histone h4k5 acetyltransferase activity,histone acetyltransferase complex,nucleus,nucleolus
ENSG00000149311,ATM,positive regulation of telomere maintenance via telomerase,mitotic g2 dna damage checkpoint signaling,dna damage response pathway activation,histone h3s10 kinase activity,histone h2axs139 kinase activity,atp binding,nucleus,spindle,cytoskeleton
ENSG00000009954,BAZ1B,positive regulation of transcription by rna polymerase ii,positive regulation of transcription from rna polymerase iii promoter,regulation of transcription by rna polymerase ii,histone h3y41 kinase activity,histone h2axy142 kinase activity,non-membrane spanning protein tyrosine kinase activity,nucleoplasm,condensed chromosome,pericentric heterochromatin
ENSG00000153147,SMARCA5,regulation of transcription by rna polymerase ii,regulation of dna methylation,rdna heterochromatin formation,atp-dependent chromatin remodeler activity,atp hydrolysis activity,nucleosome array spacer activity,condensed chromosome,rsf complex,chrac
ENSG00000103275,UBE2I,negative regulation of transcription by rna polymerase ii,protein sumoylation,ubiquitin-dependent protein catabolic process,sumo conjugating enzyme activity,sumo transferase activity,ring-like zinc finger domain binding,nucleus,sumo ligase complex,pml body
ENSG00000116030,SUMO1,negative regulation of dna-binding transcription factor activity,negative regulation of potassium ion transmembrane transporter activity,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,ubiquitin-specific protease binding,potassium channel regulator activity,ubiquitin protein ligase binding,nucleus,nuclear membrane,xy body
ENSG00000169139,UBE2V2,positive regulation of double-strand break repair,protein k63-linked ubiquitination,protein polyubiquitination,protein binding,none,none,nucleus,extracellular exosome,ubc13-mms2 complex
ENSG00000177889,UBE2N,positive regulation of nf-kappab transcription factor activity,protein k63-linked ubiquitination,positive regulation of double-strand break repair,ubiquitin conjugating enzyme activity,ubiquitin-protein transferase activity,ubiquitin binding,nucleus,ubiquitin conjugating enzyme complex,ubiquitin ligase complex
ENSG00000138376,BARD1,negative regulation of mrna 3'-end processing,protein ubiquitination,mitotic g2/m transition checkpoint,histone h2ak127 ubiquitin ligase activity,ubiquitin-protein transferase activity,protein homodimerization activity,brca1-bard1 complex,nucleus,nuclear ubiquitin ligase complex
ENSG00000012048,BRCA1,mitotic g2 dna damage checkpoint signaling,negative regulation of gene expression via chromosomal cpg island methylation,random inactivation of x chromosome,histone h2ak129 ubiquitin ligase activity,ubiquitin-protein transferase activity,zinc ion binding,condensed nuclear chromosome,brca1-bard1 complex,xy body
ENSG00000188612,SUMO2,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,positive regulation of transcription by rna polymerase ii,protein sumoylation,sumo transferase activity,ubiquitin-like protein ligase binding,protein binding,nucleus,glutamatergic synapse,postsynaptic cytosol
ENSG00000225589,MDC1,dna repair,mitotic intra-s dna damage checkpoint signaling,positive regulation of transcription initiation by rna polymerase ii,histone reader activity,protein binding,chromatin-protein adaptor activity,nucleus,site of double-strand break,chromosome
ENSG00000128731,HERC2,negative regulation of notch signaling pathway,dna repair,protein ubiquitination,ubiquitin protein ligase activity,ubiquitin-protein transferase activity,zinc ion binding,nucleus,cytoskeleton,plasma membrane
ENSG00000164053,ATRIP,regulation of dna repair,cell cycle checkpoint signaling,response to dna damage stimulus,protein binding,k63-linked polyubiquitin modification-dependent protein binding,dna binding,nucleus,chromatin,atr-atrip complex
ENSG00000175054,ATR,dna damage checkpoint signaling,positive regulation of dna damage response,mitotic g2/m transition checkpoint,histone h2axs139 kinase activity,histone h3s10 kinase activity,histone h3t11 kinase activity,nucleus,chromosome,telomeric region
ENSG00000111602,TIMELESS,positive regulation of double-strand break repair,dna replication checkpoint signaling,replication fork arrest,dna binding,protein binding,identical protein binding,replication fork protection complex,chromosome,site of double-strand break
ENSG00000075131,TIPIN,dna damage checkpoint signaling,regulation of nuclear cell cycle dna replication,mitotic intra-s dna damage checkpoint signaling,protein binding,dna binding,atp hydrolysis activity,nucleus,chromatin,replication fork protection complex
ENSG00000163605,PPP4R2,regulation of double-strand break repair via homologous recombination,regulation of double-strand break repair,mrna processing,protein phosphatase regulator activity,protein binding,protein-macromolecule adaptor activity,nucleus,chromatin,centrosome
ENSG00000149923,PPP4C,regulation of transcription by rna polymerase ii,regulation of double-strand break repair via homologous recombination,double-strand break repair via homologous recombination,rna polymerase ii ctd heptapeptide repeat s2 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,calmodulin-dependent protein phosphatase activity,nucleus,chromatin,protein phosphatase 4 complex
ENSG00000108384,RAD51C,reciprocal meiotic recombination,positive regulation of g2/m transition of mitotic cell cycle,double-strand break repair via homologous recombination,dna binding,atp binding,four-way junction dna binding,nucleus,cytoplasm,rad51b-rad51c-rad51d-xrcc2 complex
ENSG00000126215,XRCC3,regulation of mitotic cell cycle,dna repair via homologous recombination,response to dna damage stimulus,dna binding,atp binding,crossover junction endonuclease activity,nucleus,chromosome,telomeric region
ENSG00000197774,EME2,dna repair,double-strand break repair,mitotic intra-s dna damage checkpoint signaling,crossover junction dna endonuclease activity,endonuclease activity,dna binding,nucleus,holliday junction resolvase complex,nuclear replication fork
ENSG00000172732,MUS81,dna repair,double-strand break repair,mitotic intra-s dna damage checkpoint signaling,crossover junction dna endonuclease activity,'-flap endonuclease activity,endonuclease activity,nucleus,holliday junction resolvase complex,nuclear replication fork
ENSG00000154920,EME1,response to intra-s dna damage checkpoint signaling,dna repair,double-strand break repair,crossover junction dna endonuclease activity,endonuclease activity,dna binding,nucleus,holliday junction resolvase complex,nuclear replication fork
ENSG00000139618,BRCA2,regulation of dna-templated transcription,homologous recombination,double-strand break repair via homologous recombination,single-stranded dna binding,histone acetyltransferase activity,gamma-tubulin binding,nucleus,chromosome,telomeric region
ENSG00000051180,RAD51,regulation of double-strand break repair via homologous recombination,mitotic recombination-dependent replication fork processing,dna repair,atp hydrolysis activity,single-stranded dna binding,atp-dependent dna damage sensor activity,condensed nuclear chromosome,mitochondrion,nucleus
ENSG00000175595,ERCC4,negative regulation of protection from non-homologous end joining at telomere,double-strand break repair via homologous recombination,negative regulation of telomere maintenance via telomere lengthening,dna endonuclease activity,' overhang single-stranded dna endodeoxyribonuclease activity,single-stranded dna endodeoxyribonuclease activity,telomeric region,ercc4-ercc1 complex,nucleus
ENSG00000012061,ERCC1,positive regulation of transcription initiation by rna polymerase ii,negative regulation of telomere maintenance,positive regulation of t-circle formation,damaged dna binding,single-stranded dna endodeoxyribonuclease activity,tfiid-class transcription factor complex binding,nucleus,ercc4-ercc1 complex,chromosome
ENSG00000073050,XRCC1,double-strand break repair via nonhomologous end joining,negative regulation of protection from non-homologous end joining at telomere,base-excision repair,oxidized dna binding,damaged dna binding,adp-d-ribose modification-dependent protein binding,chromosome,site of dna damage,nucleus
ENSG00000005156,LIG3,double-strand break repair via homologous recombination,lagging strand elongation,dna recombination,dna ligase (atp) activity,dna ligase activity,atp binding,nucleus,nucleoplasm,mitochondrion
ENSG00000196419,XRCC6,double-strand break repair via nonhomologous end joining,positive regulation of dna-templated transcription,positive regulation of protein kinase activity,atp hydrolysis activity,dna helicase activity,transcription cis-regulatory region binding,nucleus,chromosome,dna-dependent protein kinase complex
ENSG00000079246,XRCC5,regulation of telomere maintenance,double-strand break repair via nonhomologous end joining,negative regulation of dna-templated transcription,atp hydrolysis activity,dna helicase activity,double-stranded telomeric dna binding,dna-dependent protein kinase complex,chromosome,nucleus
ENSG00000152422,XRCC4,double-strand break repair via nonhomologous end joining,dna repair,immunoglobulin v(d)j recombination,ligase activity,dna binding,identical protein binding,nucleus,dna ligase iv complex,condensed chromosome
ENSG00000174405,LIG4,double-strand break repair via classical nonhomologous end joining,v(d)j recombination,isotype switching,dna ligase (atp) activity,dna binding,atp binding,nucleus,condensed chromosome,dna ligase iv complex
ENSG00000049860,HEXB,regulation of transcription by rna polymerase ii,lysosome organization,ganglioside catabolic process,beta-n-acetylhexosaminidase activity,hydrolase activity,acting on glycosyl bonds,lysosome,azurophil granule lumen,cytoplasmic vesicle
ENSG00000213614,HEXA,ganglioside catabolic process,lysosome organization,dermatan sulfate proteoglycan catabolic process,beta-n-acetylhexosaminidase activity,hydrolase activity,acting on glycosyl bonds,lysosome,azurophil granule,intracellular membrane-bounded organelle
ENSG00000151348,EXT2,heparan sulfate proteoglycan biosynthetic process,glycosaminoglycan biosynthetic process,protein n-linked glycosylation,glucuronosyl-n-acetylglucosaminyl-proteoglycan 4-alpha-n-acetylglucosaminyltransferase activity,heparan sulfate n-acetylglucosaminyltransferase activity,acetylglucosaminyltransferase activity,golgi apparatus,endoplasmic reticulum membrane,extracellular exosome
ENSG00000182197,EXT1,heparan sulfate proteoglycan biosynthetic process,fibroblast growth factor receptor signaling pathway,bmp signaling pathway,heparan sulfate n-acetylglucosaminyltransferase activity,glucuronosyl-n-acetylglucosaminyl-proteoglycan 4-alpha-n-acetylglucosaminyltransferase activity,metal ion binding,golgi apparatus,endoplasmic reticulum membrane,synapse
ENSG00000115904,SOS1,regulation of transcription by rna polymerase ii,ras protein signal transduction,b cell receptor signaling pathway,guanyl-nucleotide exchange factor activity,epidermal growth factor receptor binding,protein kinase binding,plasma membrane,postsynaptic density,cytoplasm
ENSG00000170312,CDK1,regulation of mitotic cell cycle phase transition,positive regulation of dna replication,regulation of chromosome segregation,rna polymerase ii ctd heptapeptide repeat s7 kinase activity,atp binding,protein serine/threonine kinase activity,spindle microtubule,nucleus,centrosome
ENSG00000134057,CCNB1,regulation of mitotic cell cycle spindle assembly checkpoint,positive regulation of g2/m transition of mitotic cell cycle,mitotic spindle organization,cyclin-dependent protein serine/threonine kinase activator activity,protein kinase binding,patched binding,cyclin b1-cdk1 complex,nucleus,centrosome
ENSG00000165494,PCF11,mrna 3'-end processing,termination of rna polymerase ii transcription,co-transcriptional mrna 3'-end processing,rna polymerase ii complex binding,mrna binding,protein binding,nucleus,mrna cleavage factor complex,cytoplasm
ENSG00000172409,CLP1,trna splicing,mrna processing,global gene silencing by mrna cleavage,atp-dependent polynucleotide 5'-hydroxyl-kinase activity,atp binding,kinase activity,mrna cleavage factor complex,nucleus,nucleoplasm
ENSG00000187079,TEAD1,regulation of transcription by rna polymerase ii,positive regulation of cell growth,positive regulation of mirna transcription,dna-binding transcription factor activity,sequence-specific double-stranded dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,tead-yap complex,nucleus,chromatin
ENSG00000137693,YAP1,positive regulation of cell proliferation,positive regulation of gene expression,negative regulation of cilium assembly,transcription coactivator activity,transcription cis-regulatory region binding,dna-binding transcription factor binding,nucleus,tead-yap complex,plasma membrane
ENSG00000074219,TEAD2,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,hippo signaling pathway,dna binding,sequence-specific double-stranded dna binding,transcription coactivator binding,nucleus,tead-yap complex,chromatin
ENSG00000007866,TEAD3,positive regulation of transcription by rna polymerase ii,regulation of transcription by rna polymerase ii,hippo signaling pathway,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,protein binding,nucleus,chromatin,transcriptional regulator complex
ENSG00000197905,TEAD4,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,dna-templated transcription,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,dna binding,nucleus,chromatin,transcription regulator complex
ENSG00000132964,CDK8,positive regulation of transcription by rna polymerase ii,cell cycle progression,g1/s transition of mitotic cell cycle,rna polymerase ii ctd heptapeptide repeat y1 kinase activity,rna polymerase ii ctd heptapeptide repeat s2 kinase activity,atp binding,nucleus,cyclin-dependent protein kinase holoenzyme complex,mediator complex
ENSG00000112237,CCNC,positive regulation of transcription by rna polymerase ii,regulation of g0 to g1 transition,negative regulation of notch signaling pathway,cyclin-dependent protein serine/threonine kinase regulator activity,identical protein binding,protein binding.,nucleus,cyclin-dependent protein kinase holoenzyme complex,mediator complex
ENSG00000101665,SMAD7,regulation of transcription by rna polymerase ii,negative regulation of t cell cytokine production,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,type i transforming growth factor beta receptor binding,transcription corepressor activity,i-smad binding,heteromeric smad protein complex,nucleus,adherens junction
ENSG00000157450,RNF111,positive regulation of protein ubiquitination,protein polyubiquitination,global genome nucleotide-excision repair,ubiquitin protein ligase activity,smad binding,metal ion binding,nucleus,pml body,protein-containing complex
ENSG00000284792,PTEN,negative regulation of cyclin-dependent protein serine/threonine kinase activity,positive regulation of dna-binding transcription factor activity,regulation of transcription by rna polymerase ii,phosphatidylinositol-3,-bisphosphate 3-phosphatase activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,nucleus,cytoplasmic side of plasma membrane,postsynaptic density
ENSG00000141510,TP53,positive regulation of transcription by rna polymerase ii,mitotic g1 dna damage checkpoint signaling,negative regulation of telomere maintenance via telomerase,rna polymerase ii cis-regulatory region sequence-specific dna binding,zinc ion binding,receptor tyrosine kinase binding,nucleus,nucleolus,mitochondrion
ENSG00000165699,TSC1,regulation of torc1 signaling,negative regulation of macroautophagy,positive regulation of focal adhesion assembly,protein-folding chaperone binding,atpase inhibitor activity,hsp90 protein binding,lysosome,actin filament,nucleus
ENSG00000103197,TSC2,negative regulation of torc1 signaling,negative regulation of mitophagy,positive regulation of macroautophagy,gtpase activator activity,small gtpase binding,protein binding,lysosome,nucleus,cytosol
ENSG00000284194,SCO2,mitochondrial cytochrome c oxidase assembly,respiratory electron transport chain,intracellular copper ion homeostasis,copper ion binding,protein-disulfide reductase activity,copper chaperone activity,mitochondrion,mitochondrial inner membrane,myofibril
ENSG00000048392,RRM2B,positive regulation of g2/m transition of mitotic cell cycle,deoxyribonucleotide biosynthetic process,negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator,ribonucleoside-diphosphate reductase activity,protein binding,thioredoxin disulfide as acceptor,nucleus,mitochondrion,ribonucleoside-diphosphate reductase complex
ENSG00000135423,GLS2,glutamine catabolic process,regulation of apoptotic process,glutamate biosynthetic process,glutaminase activity,hydrolase activity,protein binding,mitochondrial matrix,mitochondrion,membrane-enclosed lumen
ENSG00000146674,IGFBP3,negative regulation of protein phosphorylation,positive regulation of mapk cascade,regulation of glucose metabolic process,protein tyrosine phosphatase activator activity,insulin-like growth factor binding,metal ion binding,nucleus,endoplasmic reticulum lumen,extracellular region
ENSG00000141682,PMAIP1,positive regulation of dna damage response,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,positive regulation of intrinsic apoptotic signaling pathway,protein binding,receptor binding,transcription factor binding,mitochondrion,mitochondrial outer membrane,nucleus
ENSG00000015475,BID,regulation of apoptosis,negative regulation of intrinsic apoptotic signaling pathway,protein targeting to mitochondrion,death receptor binding,ubiquitin protein ligase binding,protein binding,mitochondrial outer membrane,mitochondrion,cytosol
ENSG00000120471,TP53AIP1,apoptotic process,programmed cell death,regulation of cell death,protein binding,transcription regulator activity,apoptotic signaling pathway regulator activity,mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane
ENSG00000197050,ZNF420,regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,transcriptional repression,dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,krab domain binding,nucleus,nucleoplasm,chromatin
ENSG00000115107,STEAP3,copper ion import,iron ion transport,apoptotic process,ferric-chelate reductase (nadph) activity,cupric reductase (nadh) activity,heme binding,multivesicular body,endosome membrane,plasma membrane
ENSG00000104765,BNIP3L,regulation of mitophagy,positive regulation of macroautophagy,cellular response to hypoxia,protein homodimerization activity,protein binding,lamin binding,mitochondrial outer membrane,mitochondrion,nucleus
ENSG00000170855,TRIAP1,positive regulation of transcription by rna polymerase ii,negative regulation of intrinsic apoptotic signaling pathway in response to dna damage,cellular response to uv,p53 binding,phosphatidic acid transfer activity,protein binding,nucleus,mitochondrial intermembrane space,protein-containing complex
ENSG00000042286,AIFM2,regulation of cellular response to oxidative stress,positive regulation of apoptotic process,negative regulation of ferroptosis,electron-transferring-flavoprotein dehydrogenase activity,oxidoreductase activity,acting on nad(p)h,mitochondrial outer membrane,mitochondrion,nucleus
ENSG00000164938,TP53INP1,positive regulation of dna-templated transcription,positive regulation of autophagy,cellular response to uv,protein binding,antioxidant activity,dna binding,autophagosome,nucleus,cytoplasm
ENSG00000120868,APAF1,positive regulation of apoptotic signaling pathway,regulation of apoptotic dna fragmentation,response to g1 dna damage checkpoint signaling,cysteine-type endopeptidase activator activity involved in apoptotic process,nucleotide binding,atp binding,apoptosome,nucleus,extracellular region
ENSG00000177595,PIDD1,regulation of canonical nf-kappab signal transduction,positive regulation of apoptotic process,extrinsic apoptotic signaling pathway via death domain receptors,death receptor binding,endopeptidase activity,hydrolase activity,nucleus,cytosol,endopeptidase complex
ENSG00000169372,CRADD,regulation of apoptotic process,positive regulation of apoptotic signaling pathway,cellular response to mechanical stimulus,death domain binding,protease binding,protein-macromolecule adaptor activity,nucleus,cytosol,endopeptidase complex
ENSG00000091106,NLRC4,positive regulation of nf-kappab transcription factor activity,activation of innate immune response,pattern recognition receptor signaling pathway,caspase binding,endopeptidase activator activity,protein homodimerization activity,ipaf inflammasome complex,cytosol,canonical inflammasome complex
ENSG00000138794,CASP6,positive regulation of necroptotic process,intrinsic apoptotic signaling pathway by p53 class mediator,protein autoprocessing,cysteine-type endopeptidase activity,cysteine-type peptidase activity,identical protein binding,cytoplasm,nucleus,nucleoplasm
ENSG00000003400,CASP10,regulation of apoptotic process,extrinsic apoptotic signaling pathway via death domain receptors,positive regulation of neuron apoptotic process,cysteine-type endopeptidase activity,ubiquitin protein ligase binding,cysteine-type peptidase activity,cytoplasm,cd95 death-inducing signaling complex,ripoptosome
ENSG00000104419,NDRG1,negative regulation of cell population proliferation,dna damage response,cellular response to hypoxia,microtubule binding,small gtpase binding,gamma-tubulin binding,microtubule,recycling endosome membrane,adherens junction
ENSG00000281449,BCL2L14,regulation of apoptotic process,apoptotic signaling pathway,programmed cell death,protein kinase binding,protein-dna binding,receptor ligand activity,membrane,cytosol,endoplasmic reticulum
ENSG00000089685,BIRC5,regulation of mitotic cell cycle,positive regulation of mitotic sister chromatid separation,regulation of chromosome organization,cysteine-type endopeptidase inhibitor activity,small gtpase binding,microtubule binding,nuclear chromosome,microtubule cytoskeleton,spindle
ENSG00000113916,BCL6,negative regulation of t-helper 2 cell differentiation,negative regulation of mitotic cell cycle dna replication,negative regulation of mast cell cytokine production,rna polymerase ii cis-regulatory region sequence-specific dna binding,intronic transcription regulatory region sequence-specific dna binding,transcription corepressor binding,nucleus,nucleoplasm,paraspeckles
ENSG00000161642,ZNF385A,negative regulation of intrinsic apoptotic signaling pathway,regulation of cytoplasmic translation,mrna localization,p53 binding,dna binding,mrna 3'-utr binding,nucleus,nucleolus,chromatin
ENSG00000116017,ARID3A,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,dna-templated transcription,dna binding,transcription coregulator activity,protein binding,nucleus,nucleoplasm,chromatin
