Code_Index,Gene_ID,Gene_Name,Gene_Label
104,ENSG00000164938,TP53INP1,Unknown
105,ENSG00000120868,APAF1,Unknown
106,ENSG00000177595,PIDD1,Unknown
107,ENSG00000169372,CRADD,Unknown
108,ENSG00000091106,NLRC4,Unknown
109,ENSG00000138794,CASP6,Unknown
110,ENSG00000003400,CASP10,Unknown
111,ENSG00000104419,NDRG1,Driver
112,ENSG00000281449,BCL2L14,Non-driver
113,ENSG00000089685,BIRC5,Unknown
114,ENSG00000113916,BCL6,Driver
115,ENSG00000161642,ZNF385A,Unknown
116,ENSG00000116017,ARID3A,Non-driver
117,ENSG00000165891,E2F7,Unknown
118,ENSG00000129173,E2F8,Unknown
119,ENSG00000116717,GADD45A,Non-driver
120,ENSG00000087586,AURKA,Driver
121,ENSG00000132646,PCNA,Driver
122,ENSG00000087088,BAX,Driver
123,ENSG00000175793,SFN,Unknown
124,ENSG00000145632,PLK2,Unknown
125,ENSG00000173846,PLK3,Unknown
126,ENSG00000102760,RGCC,Non-driver
127,ENSG00000118495,PLAGL1,Unknown
128,ENSG00000115966,ATF2,Unknown
129,ENSG00000177606,JUN,Driver
130,ENSG00000170345,FOS,Unknown
131,ENSG00000122512,PMS2,Driver
132,ENSG00000076242,MLH1,Driver
133,ENSG00000158169,FANCC,Driver
134,ENSG00000134574,DDB2,Driver
135,ENSG00000057657,PRDM1,Driver
136,ENSG00000135679,MDM2,Driver
137,ENSG00000198625,MDM4,Driver
138,ENSG00000113328,CCNG1,Unknown
139,ENSG00000064393,HIPK2,Unknown
140,ENSG00000127445,PIN1,Driver
141,ENSG00000163349,HIPK1,Non-driver
142,ENSG00000149136,SSRP1,Unknown
143,ENSG00000092201,SUPT16H,Unknown
144,ENSG00000101266,CSNK2A1,Unknown
145,ENSG00000070770,CSNK2A2,Unknown
146,ENSG00000088325,TPX2,Unknown
147,ENSG00000188976,NOC2L,Unknown
148,ENSG00000176749,CDK5R1,Unknown
149,ENSG00000164885,CDK5,Unknown
150,ENSG00000152192,POU4F1,Unknown
151,ENSG00000151615,POU4F2,Non-driver
152,ENSG00000172530,BANP,Unknown
153,ENSG00000025293,PHF20,Unknown
154,ENSG00000185513,L3MBTL1,Non-driver
155,ENSG00000238134,EHMT2,Unknown
156,ENSG00000181090,EHMT1,Unknown
157,ENSG00000137203,TFAP2A,Unknown
158,ENSG00000124795,DEK,Driver
159,ENSG00000087510,TFAP2C,Unknown
160,ENSG00000186153,WWOX,Unknown
161,ENSG00000008196,TFAP2B,Unknown
162,ENSG00000127337,YEATS4,Unknown
163,ENSG00000091831,ESR1,Driver
164,ENSG00000156802,ATAD2,Unknown
165,ENSG00000112715,VEGFA,Driver
166,ENSG00000163235,TGFA,Driver
167,ENSG00000124762,CDKN1A,Driver
168,ENSG00000159216,RUNX1,Driver
169,ENSG00000078900,TP73,Unknown
170,ENSG00000179588,ZFPM1,Unknown
171,ENSG00000102145,GATA1,Driver
172,ENSG00000143387,CTSK,Unknown
173,ENSG00000197641,SERPINB13,Unknown
174,ENSG00000110092,CCND1,Driver
175,ENSG00000135446,CDK4,Driver
176,ENSG00000173153,ESRRA,Unknown
177,ENSG00000109819,PPARGC1A,Unknown
178,ENSG00000122691,TWIST1,Unknown
179,ENSG00000124813,RUNX2,Unknown
180,ENSG00000109705,NKX3-2,Unknown
181,ENSG00000120149,MSX2,Unknown
182,ENSG00000141646,SMAD4,Driver
183,ENSG00000170365,SMAD1,Unknown
184,ENSG00000020633,RUNX3,Driver
185,ENSG00000166949,SMAD3,Driver
186,ENSG00000198176,TFDP1,Unknown
187,ENSG00000169016,E2F6,Non-driver
188,ENSG00000114126,TFDP2,Unknown
189,ENSG00000174197,MGA,Unknown
190,ENSG00000125952,MAX,Driver
191,ENSG00000213246,SUPT4H1,Unknown
192,ENSG00000196235,SUPT5H,Unknown
193,ENSG00000103363,ELOB,Non-driver
194,ENSG00000154582,ELOC,Unknown
195,ENSG00000125651,GTF2F1,Unknown
196,ENSG00000188342,GTF2F2,Unknown
197,ENSG00000114503,NCBP2,Unknown
198,ENSG00000136937,NCBP1,Unknown
199,ENSG00000224748,TAP1,Unknown
200,ENSG00000223481,TAP2,Unknown
201,ENSG00000166126,AMN,Unknown
202,ENSG00000107611,CUBN,Unknown
203,ENSG00000146085,MMUT,Non-driver
204,ENSG00000151611,MMAA,Unknown
205,ENSG00000117560,FASLG,Driver
206,ENSG00000026103,FAS,Driver
207,ENSG00000156735,BAG4,Unknown
208,ENSG00000067182,TNFRSF1A,Unknown
209,ENSG00000230108,TNF,Driver
210,ENSG00000106052,TAX1BP1,Unknown
211,ENSG00000118503,TNFAIP3,Driver
212,ENSG00000104689,TNFRSF10A,Unknown
213,ENSG00000173530,TNFRSF10D,Unknown
214,ENSG00000120889,TNFRSF10B,Unknown
215,ENSG00000134259,NGF,Unknown
216,ENSG00000064300,NGFR,Unknown
217,ENSG00000184216,IRAK1,Unknown
218,ENSG00000172936,MYD88,Driver
219,ENSG00000109320,NFKB1,Unknown
220,ENSG00000173039,RELA,Unknown
221,ENSG00000119048,UBE2B,Unknown
222,ENSG00000070950,RAD18,Unknown
223,ENSG00000114742,WDR48,Unknown
224,ENSG00000162607,USP1,Unknown
225,ENSG00000009413,REV3L,Unknown
226,ENSG00000116670,MAD2L2,Unknown
227,ENSG00000163743,RCHY1,Unknown
228,ENSG00000170734,POLH,Unknown
229,ENSG00000121060,TRIM25,Unknown
230,ENSG00000156587,UBE2L6,Unknown
231,ENSG00000182179,UBA7,Non-driver
232,ENSG00000187608,ISG15,Unknown
233,ENSG00000184900,SUMO3,Unknown
234,ENSG00000131944,FAAP24,Non-driver
235,ENSG00000187790,FANCM,Unknown
236,ENSG00000169689,CENPX,Non-driver
237,ENSG00000175279,CENPS,Non-driver
238,ENSG00000140525,FANCI,Unknown
239,ENSG00000144554,FANCD2,Driver
240,ENSG00000175198,PCCA,Unknown
241,ENSG00000114054,PCCB,Unknown
242,ENSG00000275300,MCCC2,Unknown
243,ENSG00000078070,MCCC1,Unknown
244,ENSG00000175505,CLCF1,Unknown
245,ENSG00000006016,CRLF1,Unknown
246,ENSG00000130175,PRKCSH,Unknown
247,ENSG00000089597,GANAB,Unknown
248,ENSG00000179218,CALR,Driver
249,ENSG00000283777,CANX,Unknown
250,ENSG00000182185,RAD51B,Driver
251,ENSG00000243678,NME2,Unknown
252,ENSG00000239672,NME1,Driver
253,ENSG00000157500,APPL1,Unknown
254,ENSG00000187323,DCC,Driver
255,ENSG00000179222,MAGED1,Unknown
256,ENSG00000113763,UNC5A,Unknown
257,ENSG00000221823,PPP3R1,Unknown
258,ENSG00000120910,PPP3CC,Unknown
259,ENSG00000171791,BCL2,Driver
260,ENSG00000002330,BAD,Driver
261,ENSG00000030110,BAK1,Unknown
262,ENSG00000172115,CYCS,Unknown
263,ENSG00000101966,XIAP,Driver
264,ENSG00000164305,CASP3,Driver
265,ENSG00000165806,CASP7,Unknown
266,ENSG00000132906,CASP9,Driver
267,ENSG00000184047,DIABLO,Non-driver
268,ENSG00000169598,DFFB,Unknown
269,ENSG00000160049,DFFA,Unknown
270,ENSG00000114030,KPNA1,Unknown
271,ENSG00000108424,KPNB1,Unknown
272,ENSG00000180370,PAK2,Unknown
273,ENSG00000071205,ARHGAP10,Unknown
274,ENSG00000137275,RIPK1,Unknown
275,ENSG00000129465,RIPK3,Unknown
276,ENSG00000131979,GCH1,Unknown
277,ENSG00000137880,GCHFR,Unknown
278,ENSG00000244687,UBE2V1,Unknown
279,ENSG00000175104,TRAF6,Unknown
280,ENSG00000134070,IRAK2,Unknown
281,ENSG00000113070,HBEGF,Unknown
282,ENSG00000198898,CAPZA2,Unknown
283,ENSG00000077549,CAPZB,Unknown
284,ENSG00000177938,CAPZA3,Unknown
285,ENSG00000116489,CAPZA1,Unknown
286,ENSG00000114745,GORASP1,Unknown
287,ENSG00000167110,GOLGA2,Unknown
288,ENSG00000106799,TGFBR1,Unknown
289,ENSG00000088832,FKBP1A,Unknown
290,ENSG00000113319,RASGRF2,Unknown
291,ENSG00000058335,RASGRF1,Unknown
292,ENSG00000120251,GRIA2,Unknown
293,ENSG00000155511,GRIA1,Unknown
294,ENSG00000105397,TYK2,Unknown
295,ENSG00000142166,IFNAR1,Unknown
296,ENSG00000162851,TFB2M,Unknown
297,ENSG00000099821,POLRMT,Unknown
298,ENSG00000128191,DGCR8,Driver
299,ENSG00000113360,DROSHA,Driver
300,ENSG00000116918,TSNAX,Unknown
301,ENSG00000211460,TSN,Unknown
302,ENSG00000076108,BAZ2A,Unknown
303,ENSG00000119772,DNMT3A,Driver
304,ENSG00000142182,DNMT3L,Unknown
305,ENSG00000088305,DNMT3B,Driver
306,ENSG00000055130,CUL1,Unknown
307,ENSG00000111530,CAND1,Unknown
308,ENSG00000072274,TFRC,Driver
309,ENSG00000010704,HFE,Unknown
310,ENSG00000091513,TF,Unknown
311,ENSG00000225312,HSD17B8,Unknown
312,ENSG00000145439,CBR4,Non-driver
313,ENSG00000157456,CCNB2,Unknown
314,ENSG00000100241,SBF1,Unknown
315,ENSG00000087053,MTMR2,Unknown
316,ENSG00000003987,MTMR7,Unknown
317,ENSG00000104643,MTMR9,Unknown
318,ENSG00000051382,PIK3CB,Driver
319,ENSG00000105647,PIK3R2,Unknown
320,ENSG00000171608,PIK3CD,Unknown
321,ENSG00000117461,PIK3R3,Unknown
322,ENSG00000141506,PIK3R5,Unknown
323,ENSG00000105851,PIK3CG,Unknown
324,ENSG00000169499,PLEKHA2,Unknown
325,ENSG00000163629,PTPN13,Driver
326,ENSG00000107679,PLEKHA1,Unknown
327,ENSG00000139505,MTMR6,Unknown
328,ENSG00000133812,SBF2,Unknown
329,ENSG00000171100,MTM1,Unknown
330,ENSG00000150712,MTMR12,Unknown
331,ENSG00000033327,GAB2,Unknown
332,ENSG00000150995,ITPR1,Unknown
333,,MRVI1,Unknown
334,ENSG00000111679,PTPN6,Driver
335,ENSG00000261371,PECAM1,Unknown
336,ENSG00000179295,PTPN11,Driver
337,ENSG00000160712,IL6R,Unknown
338,ENSG00000136244,IL6,Driver
339,ENSG00000115415,STAT1,Unknown
340,ENSG00000168610,STAT3,Driver
341,ENSG00000128052,KDR,Driver
342,ENSG00000113905,HRG,Unknown
343,ENSG00000122194,PLG,Unknown
344,ENSG00000182718,ANXA2,Unknown
345,ENSG00000197747,S100A10,Unknown
346,ENSG00000276838,SERPINF2,Non-driver
347,ENSG00000122861,PLAU,Driver
348,ENSG00000011422,PLAUR,Driver
349,ENSG00000165240,ATP7A,Unknown
350,ENSG00000120509,PDZD11,Unknown
351,ENSG00000103249,CLCN7,Unknown
352,ENSG00000081087,OSTM1,Unknown
353,ENSG00000136810,TXN,Unknown
354,ENSG00000265972,TXNIP,Unknown
355,ENSG00000162711,NLRP3,Unknown
356,ENSG00000103313,MEFV,Unknown
357,ENSG00000140368,PSTPIP1,Unknown
358,ENSG00000103490,PYCARD,Driver
359,ENSG00000135346,CGA,Unknown
360,ENSG00000104826,LHB,Unknown
361,ENSG00000126895,AVPR2,Unknown
362,ENSG00000101200,AVP,Unknown
363,ENSG00000115263,GCG,Unknown
364,ENSG00000215644,GCGR,Unknown
365,ENSG00000122679,RAMP3,Unknown
366,ENSG00000004948,CALCR,Unknown
367,ENSG00000132329,RAMP1,Unknown
368,ENSG00000134200,TSHB,Unknown
369,ENSG00000179600,GPHB5,Unknown
370,ENSG00000149735,GPHA2,Unknown
371,ENSG00000064989,CALCRL,Unknown
372,ENSG00000131477,RAMP2,Unknown
373,ENSG00000065325,GLP2R,Unknown
374,ENSG00000131808,FSHB,Unknown
375,ENSG00000138448,ITGAV,Driver
376,ENSG00000082781,ITGB5,Unknown
377,ENSG00000103496,STX4,Unknown
378,ENSG00000265808,SEC22B,Non-driver
379,ENSG00000106571,GLI3,Unknown
380,ENSG00000185920,PTCH1,Driver
381,ENSG00000111087,GLI1,Driver
382,ENSG00000074047,GLI2,Unknown
383,ENSG00000107882,SUFU,Driver
384,ENSG00000133961,NUMB,Unknown
385,ENSG00000078747,ITCH,Unknown
386,ENSG00000011198,ABHD5,Unknown
387,ENSG00000166819,PLIN1,Unknown
388,ENSG00000079435,LIPE,Unknown
389,ENSG00000170323,FABP4,Unknown
390,ENSG00000153822,KCNJ16,Unknown
391,ENSG00000157551,KCNJ15,Unknown
392,ENSG00000177807,KCNJ10,Unknown
393,ENSG00000161921,CXCL16,Unknown
394,ENSG00000172215,CXCR6,Unknown
395,ENSG00000197405,C5AR1,Unknown
396,ENSG00000106804,C5,Unknown
397,ENSG00000006210,CX3CL1,Unknown
398,ENSG00000168329,CX3CR1,Unknown
399,ENSG00000179002,TAS1R2,Unknown
400,ENSG00000169962,TAS1R3,Unknown
401,ENSG00000173662,TAS1R1,Unknown
402,ENSG00000136928,GABBR2,Unknown
403,ENSG00000204681,GABBR1,Unknown
404,ENSG00000243646,IL10RB,Non-driver
405,ENSG00000104064,GABPB1,Non-driver
406,ENSG00000154727,GABPA,Unknown
407,ENSG00000083312,TNPO1,Unknown
408,ENSG00000117245,KIF17,Unknown
409,ENSG00000243955,GSTA1,Unknown
410,ENSG00000244067,GSTA2,Unknown
411,ENSG00000001084,GCLC,Unknown
412,ENSG00000023909,GCLM,Unknown
413,ENSG00000254647,INS,Unknown
414,ENSG00000171105,INSR,Unknown
415,ENSG00000173208,ABCD2,Unknown
416,ENSG00000101986,ABCD1,Unknown
417,ENSG00000117528,ABCD3,Unknown
418,ENSG00000138075,ABCG5,Unknown
419,ENSG00000143921,ABCG8,Unknown
420,ENSG00000160716,CHRNB2,Unknown
421,ENSG00000101204,CHRNA4,Unknown
422,ENSG00000080644,CHRNA3,Unknown
423,ENSG00000117971,CHRNB4,Unknown
424,ENSG00000111206,FOXM1,Unknown
425,ENSG00000166851,PLK1,Unknown
426,ENSG00000117724,CENPF,Unknown
427,ENSG00000115353,TACR1,Unknown
428,ENSG00000006128,TAC1,Unknown
429,ENSG00000075073,TACR2,Unknown
430,ENSG00000180914,OXTR,Unknown
431,ENSG00000101405,OXT,Unknown
432,ENSG00000147571,CRH,Unknown
433,ENSG00000145708,CRHBP,Unknown
434,ENSG00000123146,ADGRE5,Unknown
435,ENSG00000196352,CD55,Unknown
436,ENSG00000100211,CBY1,Non-driver
437,ENSG00000168036,CTNNB1,Driver
438,ENSG00000178585,CTNNBIP1,Unknown
439,ENSG00000100888,CHD8,Unknown
440,ENSG00000180398,MCFD2,Unknown
441,ENSG00000074695,LMAN1,Unknown
442,ENSG00000170348,TMED10,Unknown
443,ENSG00000086598,TMED2,Non-driver
444,ENSG00000010610,CD4,Unknown
445,ENSG00000182866,LCK,Driver
446,ENSG00000115839,RAB3GAP1,Unknown
447,ENSG00000118873,RAB3GAP2,Unknown
448,ENSG00000148053,NTRK2,Unknown
449,ENSG00000176697,BDNF,Unknown
450,ENSG00000225950,NTF4,Non-driver
451,ENSG00000100385,IL2RB,Unknown
452,ENSG00000162434,JAK1,Driver
453,ENSG00000105639,JAK3,Driver
454,ENSG00000147168,IL2RG,Unknown
455,ENSG00000120899,PTK2B,Unknown
456,ENSG00000105246,EBI3,Unknown
457,ENSG00000197272,IL27,Unknown
458,ENSG00000110400,NECTIN1,Unknown
459,ENSG00000177707,NECTIN3,Unknown
460,ENSG00000143217,NECTIN4,Non-driver
461,ENSG00000130202,NECTIN2,Unknown
462,ENSG00000073008,PVR,Unknown
463,ENSG00000113302,IL12B,Unknown
464,ENSG00000168811,IL12A,Unknown
465,ENSG00000096996,IL12RB1,Unknown
466,ENSG00000081985,IL12RB2,Unknown
467,ENSG00000096968,JAK2,Driver
468,ENSG00000137462,TLR2,Unknown
469,ENSG00000174125,TLR1,Unknown
470,ENSG00000174130,TLR6,Unknown
471,ENSG00000168214,RBPJ,Unknown
472,ENSG00000100603,SNW1,Non-driver
473,ENSG00000148400,NOTCH1,Driver
474,ENSG00000100644,HIF1A,Driver
475,ENSG00000101384,JAG1,Unknown
476,ENSG00000184916,JAG2,Unknown
477,ENSG00000110395,CBL,Driver
478,ENSG00000149294,NCAM1,Unknown
479,ENSG00000130287,NCAN,Non-driver
480,ENSG00000134871,COL4A2,Unknown
481,ENSG00000187498,COL4A1,Unknown
482,ENSG00000206435,HLA-C,Unknown
483,ENSG00000273686,B2M,Driver
484,ENSG00000274739,KIR2DS5,Unknown
485,ENSG00000011600,TYROBP,Unknown
486,ENSG00000258227,CLEC5A,Unknown
487,ENSG00000096264,NCR2,Unknown
488,ENSG00000101307,SIRPB1,Unknown
489,ENSG00000124731,TREM1,Unknown
490,ENSG00000095970,TREM2,Unknown
491,ENSG00000186407,CD300E,Unknown
492,ENSG00000178789,CD300LB,Unknown
493,ENSG00000100351,GRAP2,Unknown
494,ENSG00000043462,LCP2,Unknown
495,ENSG00000136158,SPRY2,Unknown
496,ENSG00000153071,DAB2,Unknown
497,ENSG00000081479,LRP2,Unknown
498,ENSG00000124333,VAMP7,Unknown
499,ENSG00000173744,AGFG1,Unknown
500,ENSG00000078053,AMPH,Unknown
501,ENSG00000136717,BIN1,Unknown
502,ENSG00000161011,SQSTM1,Unknown
503,ENSG00000198909,MAP3K3,Unknown
504,ENSG00000187840,EIF4EBP1,Unknown
505,ENSG00000151247,EIF4E,Unknown
506,ENSG00000134250,NOTCH2,Driver
507,ENSG00000137496,IL18BP,Unknown
508,ENSG00000150782,IL18,Driver
509,ENSG00000115604,IL18R1,Unknown
510,ENSG00000164136,IL15,Unknown
511,ENSG00000134470,IL15RA,Unknown
512,ENSG00000126456,IRF3,Unknown
513,ENSG00000185507,IRF7,Unknown
514,ENSG00000005339,CREBBP,Driver
515,ENSG00000074181,NOTCH3,Unknown
516,ENSG00000163435,ELF3,Driver
517,ENSG00000018236,CNTN1,Unknown
518,ENSG00000110492,MDK,Unknown
519,ENSG00000198719,DLL1,Unknown
520,ENSG00000065978,YBX1,Unknown
521,ENSG00000164683,HEY1,Driver
522,ENSG00000160973,FOXH1,Non-driver
523,ENSG00000175550,DRAP1,Unknown
524,ENSG00000064309,CDON,Unknown
525,ENSG00000144857,BOC,Unknown
526,ENSG00000110944,IL23A,Unknown
527,ENSG00000162594,IL23R,Unknown
528,ENSG00000138378,STAT4,Unknown
529,ENSG00000113889,KNG1,Unknown
530,ENSG00000108561,C1QBP,Unknown
531,ENSG00000185010,F8,Unknown
532,ENSG00000110799,VWF,Unknown
533,ENSG00000101981,F9,Unknown
534,ENSG00000143278,F13B,Unknown
535,ENSG00000124491,F13A1,Unknown
536,ENSG00000115718,PROC,Unknown
537,ENSG00000101000,PROCR,Unknown
538,ENSG00000154589,LY96,Unknown
539,ENSG00000136869,TLR4,Driver
540,ENSG00000163220,S100A9,Unknown
541,ENSG00000143546,S100A8,Unknown
542,ENSG00000130522,JUND,Unknown
543,ENSG00000125740,FOSB,Unknown
544,ENSG00000242335,CFB,Unknown
545,ENSG00000125730,C3,Unknown
546,ENSG00000104879,CKM,Unknown
547,ENSG00000166165,CKB,Driver
548,ENSG00000117592,PRDX6,Unknown
549,ENSG00000084207,GSTP1,Driver
550,ENSG00000185122,HSF1,Unknown
551,ENSG00000230989,HSBP1,Unknown
552,ENSG00000108953,YWHAE,Driver
553,ENSG00000158941,CCAR2,Unknown
554,ENSG00000096717,SIRT1,Unknown
555,ENSG00000125968,ID1,Driver
556,ENSG00000157557,ETS2,Unknown
557,ENSG00000105722,ERF,Unknown
558,ENSG00000197442,MAP3K5,Unknown
559,ENSG00000147883,CDKN2B,Unknown
560,ENSG00000172216,CEBPB,Unknown
561,ENSG00000198178,CLEC4C,Unknown
562,ENSG00000158869,FCER1G,Unknown
563,ENSG00000166523,CLEC4E,Unknown
564,ENSG00000006062,MAP3K14,Unknown
565,ENSG00000213341,CHUK,Unknown
566,ENSG00000077150,NFKB2,Driver
567,ENSG00000104856,RELB,Unknown
568,ENSG00000172175,MALT1,Driver
569,ENSG00000064012,CASP8,Driver
570,ENSG00000090659,CD209,Driver
571,ENSG00000108622,ICAM2,Unknown
572,ENSG00000075218,GTSE1,Non-driver
573,ENSG00000117399,CDC20,Unknown
574,ENSG00000164109,MAD2L1,Unknown
575,ENSG00000136997,MYC,Driver
576,ENSG00000123374,CDK2,Unknown
577,ENSG00000105173,CCNE1,Driver
578,ENSG00000112312,GMNN,Unknown
579,ENSG00000167513,CDT1,Unknown
580,ENSG00000006634,DBF4,Non-driver
581,ENSG00000097046,CDC7,Non-driver
582,ENSG00000133101,CCNA1,Unknown
583,ENSG00000145386,CCNA2,Non-driver
584,ENSG00000139289,PHLDA1,Unknown
585,ENSG00000288307,CTDNEP1,Unknown
586,ENSG00000205423,CNEP1R1,Unknown
587,ENSG00000135476,ESPL1,Unknown
588,ENSG00000164611,PTTG1,Unknown
589,ENSG00000129933,MAU2,Unknown
590,ENSG00000164190,NIPBL,Unknown
591,ENSG00000112029,FBXO5,Unknown
592,ENSG00000073712,FERMT2,Unknown
593,ENSG00000162458,FBLIM1,Non-driver
594,ENSG00000150093,ITGB1,Unknown
595,ENSG00000166333,ILK,Unknown
596,ENSG00000197702,PARVA,Unknown
597,ENSG00000129675,ARHGEF6,Unknown
598,ENSG00000188677,PARVB,Unknown
599,ENSG00000148484,RSU1,Unknown
600,ENSG00000169756,LIMS1,Non-driver
601,ENSG00000072110,ACTN1,Unknown
602,ENSG00000091409,ITGA6,Unknown
603,ENSG00000132470,ITGB4,Unknown
604,ENSG00000196776,CD47,Unknown
605,ENSG00000198053,SIRPA,Driver
606,ENSG00000089012,SIRPG,Unknown
607,ENSG00000161270,NPHS1,Unknown
608,ENSG00000183853,KIRREL1,Non-driver
609,ENSG00000118898,PPL,Unknown
610,ENSG00000167880,EVPL,Unknown
611,ENSG00000189337,KAZN,Unknown
612,ENSG00000167754,KLK5,Unknown
613,ENSG00000133710,SPINK5,Unknown
614,ENSG00000186474,KLK12,Unknown
615,ENSG00000178172,SPINK6,Unknown
616,ENSG00000167759,KLK13,Unknown
617,ENSG00000129437,KLK14,Unknown
618,ENSG00000204909,SPINK9,Unknown
619,ENSG00000077782,FGFR1,Driver
620,ENSG00000011201,ANOS1,Non-driver
621,ENSG00000165029,ABCA1,Unknown
622,ENSG00000118137,APOA1,Unknown
623,ENSG00000132855,ANGPTL3,Unknown
624,ENSG00000130173,ANGPTL8,Unknown
625,ENSG00000126261,UBA2,Unknown
626,ENSG00000142230,SAE1,Unknown
627,ENSG00000112576,CCND3,Driver
628,ENSG00000069956,MAPK6,Non-driver
629,ENSG00000005884,ITGA3,Unknown
630,ENSG00000135424,ITGA7,Unknown
631,ENSG00000164171,ITGA2,Unknown
632,ENSG00000213949,ITGA1,Unknown
633,ENSG00000182220,ATP6AP2,Unknown
634,ENSG00000143839,REN,Unknown
635,ENSG00000117481,NSUN4,Unknown
636,ENSG00000122085,MTERF4,Unknown
637,ENSG00000259207,ITGB3,Unknown
638,ENSG00000005961,ITGA2B,Unknown
639,ENSG00000130164,LDLR,Unknown
640,ENSG00000169174,PCSK9,Unknown
641,,TMEM173,Unknown
642,ENSG00000183735,TBK1,Unknown
643,ENSG00000139193,CD27,Unknown
644,ENSG00000125726,CD70,Unknown
645,ENSG00000135960,EDAR,Unknown
646,ENSG00000158813,EDA,Unknown
647,ENSG00000131080,EDA2R,Non-driver
